frame_idx,class_name,conf,x1,y1,x2,y2,cx,cy
0,fish,0.7665,488.7410,341.9932,543.5029,385.6688,516.1220,363.8310
0,fish,0.7405,229.0711,362.9458,280.3459,402.2874,254.7085,382.6166
0,fish,0.7027,681.4259,683.3721,739.1616,728.9872,710.2937,706.1797
0,fish,0.6932,233.6821,1190.5533,282.0221,1229.4992,257.8521,1210.0262
0,fish,0.6906,970.3288,407.5959,1019.5482,444.2397,994.9385,425.9178
0,fish,0.6738,691.6914,278.7421,745.2288,316.4947,718.4601,297.6184
0,fish,0.6659,485.8245,1237.6505,529.9075,1270.1593,507.8660,1253.9049
0,fish,0.6611,484.0248,993.7679,531.4543,1028.6033,507.7395,1011.1856
0,fish,0.6599,215.8166,688.1262,272.2577,731.2101,244.0371,709.6682
0,fish,0.6551,234.0126,959.3379,280.2114,996.5249,257.1120,977.9314
0,fish,0.6458,909.4348,696.3619,958.1990,732.2485,933.8169,714.3052
0,fish,0.6456,732.8330,1242.8414,787.6192,1284.8616,760.2261,1263.8515
0,fish,0.6397,908.8192,1232.4668,959.9385,1274.6023,934.3788,1253.5345
0,fish,0.6299,490.4076,568.2026,536.8259,618.3023,513.6167,593.2524
0,fish,0.5899,980.1376,985.2466,1024.4585,1019.5607,1002.2980,1002.4036
0,fish,0.5813,629.3568,996.1698,680.8941,1030.6277,655.1255,1013.3987
1,fish,0.8052,490.6798,366.0232,543.7431,408.8548,517.2115,387.4390
1,fish,0.7115,228.8112,372.2943,280.1575,411.0161,254.4844,391.6552
1,fish,0.7025,234.8331,945.3159,281.4087,984.3750,258.1209,964.8454
1,fish,0.6870,970.3151,408.3382,1018.7503,444.3835,994.5327,426.3609
1,fish,0.6737,666.7737,681.2357,724.7726,728.5804,695.7732,704.9081
1,fish,0.6620,238.0015,1195.2146,284.7811,1234.3905,261.3913,1214.8026
1,fish,0.6609,217.8548,686.8581,274.4891,731.0457,246.1720,708.9519
1,fish,0.6592,486.8058,991.5597,533.2072,1027.8327,510.0065,1009.6962
1,fish,0.6576,908.1101,696.4679,955.8368,732.1881,931.9734,714.3280
1,fish,0.6571,732.5987,1242.4008,787.7830,1284.9543,760.1909,1263.6776
1,fish,0.6543,485.5470,1237.5223,534.6669,1272.3246,510.1069,1254.9235
1,fish,0.6515,908.8080,1232.4894,959.6602,1274.4975,934.2341,1253.4935
1,fish,0.6481,693.5703,277.4604,747.4303,316.2158,720.5003,296.8381
1,fish,0.6158,487.4746,574.5724,535.8344,622.1587,511.6545,598.3655
1,fish,0.5955,980.4465,984.7993,1024.3906,1019.4485,1002.4185,1002.1239
1,fish,0.5811,628.9800,995.7573,680.4273,1030.4890,654.7036,1013.1232
2,fish,0.7745,224.6592,380.9163,276.6782,419.1239,250.6687,400.0201
2,fish,0.7618,489.4087,380.9006,540.4820,422.0477,514.9453,401.4742
2,fish,0.7072,237.7397,1201.7088,284.7432,1240.6124,261.2415,1221.1606
2,fish,0.7004,233.7293,932.0747,281.7601,972.0383,257.7447,952.0565
2,fish,0.6904,490.6971,1234.0101,537.8393,1271.1933,514.2682,1252.6017
2,fish,0.6863,482.0580,990.4128,530.4069,1026.8231,506.2324,1008.6180
2,fish,0.6828,970.9202,408.8484,1018.4286,444.4176,994.6744,426.6330
2,fish,0.6808,642.9364,680.1146,703.7803,725.4759,673.3583,702.7953
2,fish,0.6740,483.0331,585.4080,533.0439,633.3425,508.0385,609.3752
2,fish,0.6686,696.1920,278.3765,750.6596,315.9465,723.4258,297.1615
2,fish,0.6669,906.8482,696.2205,954.3366,732.2337,930.5924,714.2271
2,fish,0.6589,216.2415,687.7895,272.9929,731.0457,244.6172,709.4176
2,fish,0.6551,908.9531,1232.4779,960.0415,1274.4923,934.4973,1253.4851
2,fish,0.6535,732.9468,1242.3314,787.7202,1284.6126,760.3335,1263.4720
2,fish,0.5839,980.5651,984.0976,1024.1890,1018.6207,1002.3771,1001.3592
2,fish,0.5758,628.9846,996.0032,680.3380,1030.4577,654.6613,1013.2305
3,fish,0.7638,225.1220,387.9525,275.9331,426.5590,250.5275,407.2557
3,fish,0.7459,495.1726,1223.4029,539.1892,1260.1582,517.1809,1241.7806
3,fish,0.7099,698.4310,278.6008,752.8452,315.8654,725.6381,297.2331
3,fish,0.6885,238.2617,1207.1836,285.3231,1244.5502,261.7924,1225.8669
3,fish,0.6883,625.5525,679.8573,685.9511,725.7804,655.7518,702.8188
3,fish,0.6758,488.5455,389.1005,538.2697,427.2007,513.4076,408.1506
3,fish,0.6611,234.4351,921.6303,281.9024,961.2453,258.1688,941.4378
3,fish,0.6604,909.3106,1232.8028,959.8926,1274.4253,934.6016,1253.6141
3,fish,0.6597,906.8597,696.4165,954.3366,732.4800,930.5981,714.4482
3,fish,0.6583,221.2848,685.1374,276.9005,728.2683,249.0926,706.7028
3,fish,0.6519,971.0462,409.8186,1017.8945,444.7734,994.4703,427.2960
3,fish,0.6427,732.5979,1242.0469,787.6348,1284.6960,760.1164,1263.3715
3,fish,0.6285,481.3169,597.3740,532.5431,645.0108,506.9300,621.1924
3,fish,0.6233,484.9191,990.4123,531.2399,1028.0901,508.0795,1009.2512
3,fish,0.5959,980.9981,982.2314,1024.0047,1017.4292,1002.5014,999.8303
3,fish,0.5534,628.9820,996.4113,679.9039,1030.6479,654.4429,1013.5296
4,fish,0.7523,494.4466,1204.0530,538.3785,1240.2929,516.4126,1222.1730
4,fish,0.7158,238.6877,1209.6975,285.9034,1247.3170,262.2956,1228.5073
4,fish,0.6956,224.3279,393.7345,275.3405,431.2295,249.8342,412.4820
4,fish,0.6906,219.4827,682.9322,274.4119,725.6634,246.9473,704.2978
4,fish,0.6781,699.2943,278.4205,753.9616,315.6939,726.6279,297.0572
4,fish,0.6777,233.7388,915.8507,281.2020,952.2587,257.4704,934.0547
4,fish,0.6736,610.8143,679.7073,670.1721,726.4628,640.4932,703.0851
4,fish,0.6614,906.8365,696.3653,954.7286,732.7439,930.7825,714.5546
